lambda_s,protocol,success_probability,success_probability_std,mean_aoi_s,mean_aoi_s_std,mean_semantic_distortion,mean_semantic_distortion_std,energy_efficiency,energy_efficiency_std,goodput_bits
120,DR8,6.71366230278617e-06,9.494552281793185e-06,599.9807743718088,0.027189144133068464,0.3509856787602238,0.0003340619776394804,0.0038352388449068523,0.005423846789407394,40.0
120,DR9,0.0001139551929365727,9.168633361310373e-06,599.8023220432344,0.0841080595744481,0.3537271364051476,0.001350761427438425,0.10515575902164273,0.008460646465110322,680.0
120,Semantic,0.2544609389299567,0.009900760606083496,496.22971992079647,2.7878038325154706,0.4151313914802339,0.00018124045708630635,250.4392573472015,9.285227850763336,340880.0
300,DR8,0.031177196865119557,0.001362065217899272,575.9228709012228,0.6621704637145975,0.5256662041104664,2.4083171182558705e-05,17.810248877544495,0.7780917772429334,74680.0
300,DR9,0.05687337299061445,0.0010306369056857618,557.8068721100497,0.7603297202311885,0.5283800685854896,0.00042597697392001674,52.48170399990126,0.951052806811737,135520.0
300,Semantic,0.2544609389299567,0.009900760606083496,496.22971992079647,2.7878038325154706,0.4151313914802339,0.00018124045708630635,250.4392573472015,9.285227850763336,340880.0
600,DR8,0.3980163828921126,0.005202230356145054,468.9333075750368,0.5392060174421051,0.6394740884578856,0.0039762753895322194,227.37037159934096,2.9718200055663213,472120.0
600,DR9,0.3427176185075219,0.0006130346354003577,483.9863191306712,1.0333253927499932,0.6390993950597033,0.00020076239293120225,316.2535236486009,0.565697101912318,407560.0
600,Semantic,0.2544609389299567,0.009900760606083496,496.22971992079647,2.7878038325154706,0.4151313914802339,0.00018124045708630635,250.4392573472015,9.285227850763336,340880.0
1200,DR8,0.8056191045657138,0.0013758222543470095,465.25371067660944,0.4839294503166359,0.6967747098929384,0.008972079430931326,460.2170238361489,0.78595060573327,488560.0
1200,DR9,0.6772669401175084,0.00048339736117430465,484.53359610422035,0.19214395352614247,0.6957251541566956,0.003361563491609961,624.9694929476227,0.44607020631108557,406360.0
1200,Semantic,0.2544609389299567,0.009900760606083496,496.22971992079647,2.7878038325154706,0.4151313914802339,0.00018124045708630635,250.4392573472015,9.285227850763336,340880.0
